;Kc [-];
;Allen et al., 2009;Rallo et al., 2021
31/07/2018;0,55;0,50
01/08/2018;0,55;0,50
02/08/2018;0,55;0,50
03/08/2018;0,55;0,50
04/08/2018;0,55;0,50
05/08/2018;0,55;0,50
06/08/2018;0,55;0,50
07/08/2018;0,55;0,50
08/08/2018;0,55;0,50
09/08/2018;0,55;0,50
10/08/2018;0,55;0,50
11/08/2018;0,55;0,50
12/08/2018;0,55;0,50
13/08/2018;0,55;0,50
14/08/2018;0,55;0,50
15/08/2018;0,55;0,50
16/08/2018;0,55;0,50
17/08/2018;0,55;0,50
18/08/2018;0,55;0,50
19/08/2018;0,55;0,50
20/08/2018;0,55;0,50
21/08/2018;0,55;0,50
22/08/2018;0,55;0,50
23/08/2018;0,55;0,50
24/08/2018;0,55;0,50
25/08/2018;0,55;0,50
26/08/2018;0,55;0,50
27/08/2018;0,55;0,50
28/08/2018;0,55;0,50
29/08/2018;0,55;0,50
30/08/2018;0,55;0,50
31/08/2018;0,55;0,50
01/09/2018;0,556;0,502
02/09/2018;0,561;0,505
03/09/2018;0,567;0,507
04/09/2018;0,573;0,510
05/09/2018;0,578;0,512
06/09/2018;0,584;0,515
07/09/2018;0,590;0,517
08/09/2018;0,595;0,519
09/09/2018;0,601;0,522
10/09/2018;0,606;0,524
11/09/2018;0,612;0,527
12/09/2018;0,618;0,529
13/09/2018;0,623;0,531
14/09/2018;0,629;0,534
15/09/2018;0,635;0,536
16/09/2018;0,640;0,539
17/09/2018;0,646;0,541
18/09/2018;0,652;0,544
19/09/2018;0,657;0,546
20/09/2018;0,663;0,548
21/09/2018;0,669;0,551
22/09/2018;0,674;0,553
23/09/2018;0,680;0,556
24/09/2018;0,685;0,558
25/09/2018;0,691;0,560
26/09/2018;0,697;0,563
27/09/2018;0,702;0,565
28/09/2018;0,708;0,568
29/09/2018;0,714;0,570
30/09/2018;0,719;0,573
01/10/2018;0,725;0,575
02/10/2018;0,731;0,577
03/10/2018;0,736;0,580
04/10/2018;0,742;0,582
05/10/2018;0,748;0,585
06/10/2018;0,753;0,587
07/10/2018;0,759;0,590
08/10/2018;0,765;0,592
09/10/2018;0,770;0,594
10/10/2018;0,776;0,597
11/10/2018;0,781;0,599
12/10/2018;0,787;0,602
13/10/2018;0,793;0,604
14/10/2018;0,798;0,606
15/10/2018;0,804;0,609
16/10/2018;0,810;0,611
17/10/2018;0,815;0,614
18/10/2018;0,821;0,616
19/10/2018;0,827;0,619
20/10/2018;0,832;0,621
21/10/2018;0,838;0,623
22/10/2018;0,844;0,626
23/10/2018;0,849;0,628
24/10/2018;0,855;0,631
25/10/2018;0,860;0,633
26/10/2018;0,866;0,635
27/10/2018;0,872;0,638
28/10/2018;0,877;0,640
29/10/2018;0,883;0,643
30/10/2018;0,889;0,645
31/10/2018;0,894;0,648
01/11/2018;0,90;0,65
02/11/2018;0,90;0,65
03/11/2018;0,90;0,65
04/11/2018;0,90;0,65
05/11/2018;0,90;0,65
06/11/2018;0,90;0,65
07/11/2018;0,90;0,65
08/11/2018;0,90;0,65
09/11/2018;0,90;0,65
10/11/2018;0,90;0,65
11/11/2018;0,90;0,65
12/11/2018;0,90;0,65
13/11/2018;0,90;0,65
14/11/2018;0,90;0,65
15/11/2018;0,90;0,65
16/11/2018;0,90;0,65
17/11/2018;0,90;0,65
18/11/2018;0,90;0,65
19/11/2018;0,90;0,65
20/11/2018;0,90;0,65
21/11/2018;0,90;0,65
22/11/2018;0,90;0,65
23/11/2018;0,90;0,65
24/11/2018;0,90;0,65
25/11/2018;0,90;0,65
26/11/2018;0,90;0,65
27/11/2018;0,90;0,65
28/11/2018;0,90;0,65
29/11/2018;0,90;0,65
30/11/2018;0,90;0,65
01/12/2018;0,90;0,65
02/12/2018;0,90;0,65
03/12/2018;0,90;0,65
04/12/2018;0,90;0,65
05/12/2018;0,90;0,65
06/12/2018;0,90;0,65
07/12/2018;0,90;0,65
08/12/2018;0,90;0,65
09/12/2018;0,90;0,65
10/12/2018;0,90;0,65
11/12/2018;0,90;0,65
12/12/2018;0,90;0,65
13/12/2018;0,90;0,65
14/12/2018;0,90;0,65
15/12/2018;0,90;0,65
16/12/2018;0,90;0,65
17/12/2018;0,90;0,65
18/12/2018;0,90;0,65
19/12/2018;0,90;0,65
20/12/2018;0,90;0,65
21/12/2018;0,90;0,65
22/12/2018;0,90;0,65
23/12/2018;0,90;0,65
24/12/2018;0,90;0,65
25/12/2018;0,90;0,65
26/12/2018;0,90;0,65
27/12/2018;0,90;0,65
28/12/2018;0,90;0,65
29/12/2018;0,90;0,65
30/12/2018;0,90;0,65
31/12/2018;0,90;0,65
01/01/2019;0,90;0,65
02/01/2019;0,90;0,65
03/01/2019;0,90;0,65
04/01/2019;0,90;0,65
05/01/2019;0,90;0,65
06/01/2019;0,90;0,65
07/01/2019;0,90;0,65
08/01/2019;0,90;0,65
09/01/2019;0,90;0,65
10/01/2019;0,90;0,65
11/01/2019;0,90;0,65
12/01/2019;0,90;0,65
13/01/2019;0,90;0,65
14/01/2019;0,90;0,65
15/01/2019;0,90;0,65
16/01/2019;0,90;0,65
17/01/2019;0,90;0,65
18/01/2019;0,90;0,65
19/01/2019;0,90;0,65
20/01/2019;0,90;0,65
21/01/2019;0,90;0,65
22/01/2019;0,90;0,65
23/01/2019;0,90;0,65
24/01/2019;0,90;0,65
25/01/2019;0,90;0,65
26/01/2019;0,90;0,65
27/01/2019;0,90;0,65
28/01/2019;0,90;0,65
29/01/2019;0,90;0,65
30/01/2019;0,90;0,65
31/01/2019;0,90;0,65
01/02/2019;0,90;0,65
02/02/2019;0,90;0,65
03/02/2019;0,90;0,65
04/02/2019;0,90;0,65
05/02/2019;0,90;0,65
06/02/2019;0,90;0,65
07/02/2019;0,90;0,65
08/02/2019;0,90;0,65
09/02/2019;0,90;0,65
10/02/2019;0,90;0,65
11/02/2019;0,90;0,65
12/02/2019;0,90;0,65
13/02/2019;0,90;0,65
14/02/2019;0,90;0,65
15/02/2019;0,90;0,65
16/02/2019;0,90;0,65
17/02/2019;0,90;0,65
18/02/2019;0,90;0,65
